name,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g
Devrick,Adelie,Torgersen,39.1,18.7,181,3750
Kerbie,Adelie,Torgersen,39.5,17.4,186,3800
Yasaman,Adelie,Torgersen,40.3,18,195,3250
Robinho,Adelie,Torgersen,36.7,19.3,193,3450
Braelynne,Adelie,Torgersen,39.3,20.6,190,3650
Sharika,Adelie,Torgersen,38.9,17.8,181,3625
Tyger,Adelie,Torgersen,39.2,19.6,195,4675
Desireah,Adelie,Torgersen,34.1,18.1,193,3475
Salman,Adelie,Torgersen,42,20.2,190,4250
Elizabethe,Adelie,Torgersen,37.8,17.1,186,3300
Renzie,Adelie,Torgersen,37.8,17.3,180,3700
Tyyne,Adelie,Torgersen,41.1,17.6,182,3200
Alixis,Adelie,Torgersen,38.6,21.2,191,3800
Takye,Adelie,Torgersen,34.6,21.1,198,4400
Terrielle,Adelie,Torgersen,36.6,17.8,185,3700
Heavenlee,Adelie,Torgersen,38.7,19,195,3450
Caridee,Adelie,Torgersen,42.5,20.7,197,4500
Cynthie,Adelie,Torgersen,34.4,18.4,184,3325
Damecia,Adelie,Torgersen,46,21.5,194,4200
Junichi,Adelie,Biscoe,37.8,18.3,174,3400
Bentli,Adelie,Biscoe,37.7,18.7,180,3600
Kreighton,Adelie,Biscoe,35.9,19.2,189,3800
Charisma,Adelie,Biscoe,38.2,18.1,185,3950
Brayce,Adelie,Biscoe,38.8,17.2,180,3800
Nateria,Adelie,Biscoe,35.3,18.9,187,3800
Azer,Adelie,Biscoe,40.6,18.6,183,3550
Darricka,Adelie,Biscoe,40.5,17.9,187,3200
Jc,Adelie,Biscoe,37.9,18.6,172,3150
Gram,Adelie,Biscoe,40.5,18.9,180,3950
Marijana,Adelie,Dream,39.5,16.7,178,3250
Josaiah,Adelie,Dream,37.2,18.1,178,3900
Tayisha,Adelie,Dream,39.5,17.8,188,3300
Ahmauri,Adelie,Dream,40.9,18.9,184,3900
Andiel,Adelie,Dream,36.4,17,195,3325
Andamo,Adelie,Dream,39.2,21.1,196,4150
Dreamer,Adelie,Dream,38.8,20,190,3950
Paulo,Adelie,Dream,42.2,18.5,180,3550
Mavel,Adelie,Dream,37.6,19.3,181,3300
Djay,Adelie,Dream,39.8,19.1,184,4650
Zaxon,Adelie,Dream,36.5,18,182,3150
Temre,Adelie,Dream,40.8,18.4,195,3900
Adalberto,Adelie,Dream,36,18.5,186,3100
Areona,Adelie,Dream,44.1,19.7,196,4400
Tuong,Adelie,Dream,37,16.9,185,3000
Vergina,Adelie,Dream,39.6,18.8,190,4600
Azsha,Adelie,Dream,41.1,19,182,3425
Tahlik,Adelie,Dream,37.5,18.9,179,2975
Adelys,Adelie,Dream,36,17.9,190,3450
Nadalynn,Adelie,Dream,42.3,21.2,191,4150
Liliany,Adelie,Biscoe,39.6,17.7,186,3500
Samah,Adelie,Biscoe,40.1,18.9,188,4300
Wnedy,Adelie,Biscoe,35,17.9,190,3450
Naje,Adelie,Biscoe,42,19.5,200,4050
Laithan,Adelie,Biscoe,34.5,18.1,187,2900
Nashyra,Adelie,Biscoe,41.4,18.6,191,3700
